State_UT_name,Year,Jail_Type,Total_Convicts,Total_Under_trial,Total
Andhra Pradesh,2001,Central Jail,3375,2832,6207
Andhra Pradesh,2001,District Jail,295,2515,2810
Andhra Pradesh,2001,Sub_Jail,198,3414,3612
Andhra Pradesh,2001,Women Jail,88,81,169
Andhra Pradesh,2001,Borstal School,17,0,17
Andhra Pradesh,2001,Open Jail,248,0,248
Andhra Pradesh,2001,Special Jail,0,0,0
Andhra Pradesh,2001,Others,0,0,0
Andhra Pradesh,2001,Total,4221,8842,13063
Andhra Pradesh,2002,Central Jail,4115,3330,7445
Andhra Pradesh,2002,District Jail,253,2016,2269
Andhra Pradesh,2002,Sub_Jail,115,3111,3226
Andhra Pradesh,2002,Women Jail,143,92,235
Andhra Pradesh,2002,Borstal School,28,0,28
Andhra Pradesh,2002,Open Jail,218,0,218
Andhra Pradesh,2002,Special Jail,0,0,0
Andhra Pradesh,2002,Others,0,0,0
Andhra Pradesh,2002,Total,4872,8549,13421
Andhra Pradesh,2003,Central Jail,4316,3482,7798
Andhra Pradesh,2003,District Jail,269,2092,2361
Andhra Pradesh,2003,Sub_Jail,125,3193,3318
Andhra Pradesh,2003,Women Jail,161,152,313
Andhra Pradesh,2003,Borstal School,22,0,22
Andhra Pradesh,2003,Open Jail,254,0,254
Andhra Pradesh,2003,Special Jail,0,0,0
Andhra Pradesh,2003,Others,0,0,0
Andhra Pradesh,2003,Total,5147,8919,14066
Andhra Pradesh,2004,Central Jail,3964,3595,7559
Andhra Pradesh,2004,District Jail,230,2237,2467
Andhra Pradesh,2004,Sub_Jail,107,3075,3182
Andhra Pradesh,2004,Women Jail,174,171,345
Andhra Pradesh,2004,Borstal School,6,0,6
Andhra Pradesh,2004,Open Jail,284,0,284
Andhra Pradesh,2004,Special Jail,0,0,0
Andhra Pradesh,2004,Others,0,0,0
Andhra Pradesh,2004,Total,4765,9078,13843
Andhra Pradesh,2005,Central Jail,4161,4029,8190
Andhra Pradesh,2005,District Jail,223,2089,2312
Andhra Pradesh,2005,Sub_Jail,146,3188,3334
Andhra Pradesh,2005,Women Jail,184,286,470
Andhra Pradesh,2005,Borstal School,7,0,7
Andhra Pradesh,2005,Open Jail,290,0,290
Andhra Pradesh,2005,Special Jail,0,0,0
Andhra Pradesh,2005,Others,0,0,0
