state,year,nationality,type,sex,agegrp,nPrisoners
A & N Islands,2001,Foreigners,Convicts,Female,16-18,0
A & N Islands,2001,Foreigners,Convicts,Female,18-30,0
A & N Islands,2001,Foreigners,Convicts,Female,30-50,0
A & N Islands,2001,Foreigners,Convicts,Female,50+,0
A & N Islands,2001,Foreigners,Convicts,Male,16-18,0
A & N Islands,2001,Foreigners,Convicts,Male,18-30,12
A & N Islands,2001,Foreigners,Convicts,Male,30-50,139
A & N Islands,2001,Foreigners,Convicts,Male,50+,2
A & N Islands,2001,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2001,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2001,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2001,Foreigners,Under Trials,Female,50+,0
A & N Islands,2001,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2001,Foreigners,Under Trials,Male,18-30,61
A & N Islands,2001,Foreigners,Under Trials,Male,30-50,47
A & N Islands,2001,Foreigners,Under Trials,Male,50+,5
A & N Islands,2001,Indians,Convicts,Female,16-18,0
A & N Islands,2001,Indians,Convicts,Female,18-30,0
A & N Islands,2001,Indians,Convicts,Female,30-50,3
A & N Islands,2001,Indians,Convicts,Female,50+,0
A & N Islands,2001,Indians,Convicts,Male,16-18,0
A & N Islands,2001,Indians,Convicts,Male,18-30,18
A & N Islands,2001,Indians,Convicts,Male,30-50,38
A & N Islands,2001,Indians,Convicts,Male,50+,5
A & N Islands,2001,Indians,Under Trials,Female,16-18,0
A & N Islands,2001,Indians,Under Trials,Female,18-30,1
A & N Islands,2001,Indians,Under Trials,Female,30-50,0
A & N Islands,2001,Indians,Under Trials,Female,50+,0
A & N Islands,2001,Indians,Under Trials,Male,16-18,0
A & N Islands,2001,Indians,Under Trials,Male,18-30,16
A & N Islands,2001,Indians,Under Trials,Male,30-50,32
A & N Islands,2001,Indians,Under Trials,Male,50+,4
A & N Islands,2002,Foreigners,Convicts,Female,16-18,0
A & N Islands,2002,Foreigners,Convicts,Female,18-30,0
A & N Islands,2002,Foreigners,Convicts,Female,30-50,0
A & N Islands,2002,Foreigners,Convicts,Female,50+,0
A & N Islands,2002,Foreigners,Convicts,Male,16-18,0
A & N Islands,2002,Foreigners,Convicts,Male,18-30,10
A & N Islands,2002,Foreigners,Convicts,Male,30-50,55
A & N Islands,2002,Foreigners,Convicts,Male,50+,3
A & N Islands,2002,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2002,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2002,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2002,Foreigners,Under Trials,Female,50+,0
A & N Islands,2002,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2002,Foreigners,Under Trials,Male,18-30,75
A & N Islands,2002,Foreigners,Under Trials,Male,30-50,41
A & N Islands,2002,Foreigners,Under Trials,Male,50+,5
A & N Islands,2002,Indians,Convicts,Female,16-18,0
A & N Islands,2002,Indians,Convicts,Female,18-30,0
A & N Islands,2002,Indians,Convicts,Female,30-50,3
A & N Islands,2002,Indians,Convicts,Female,50+,1
A & N Islands,2002,Indians,Convicts,Male,16-18,0
A & N Islands,2002,Indians,Convicts,Male,18-30,24
A & N Islands,2002,Indians,Convicts,Male,30-50,36
A & N Islands,2002,Indians,Convicts,Male,50+,5
A & N Islands,2002,Indians,Under Trials,Female,16-18,0
A & N Islands,2002,Indians,Under Trials,Female,18-30,2
A & N Islands,2002,Indians,Under Trials,Female,30-50,2
A & N Islands,2002,Indians,Under Trials,Female,50+,0
A & N Islands,2002,Indians,Under Trials,Male,16-18,0
A & N Islands,2002,Indians,Under Trials,Male,18-30,29
A & N Islands,2002,Indians,Under Trials,Male,30-50,33
A & N Islands,2002,Indians,Under Trials,Male,50+,7
A & N Islands,2003,Foreigners,Convicts,Female,16-18,0
A & N Islands,2003,Foreigners,Convicts,Female,18-30,0
A & N Islands,2003,Foreigners,Convicts,Female,30-50,0
A & N Islands,2003,Foreigners,Convicts,Female,50+,0
A & N Islands,2003,Foreigners,Convicts,Male,16-18,0
A & N Islands,2003,Foreigners,Convicts,Male,18-30,14
A & N Islands,2003,Foreigners,Convicts,Male,30-50,9
A & N Islands,2003,Foreigners,Convicts,Male,50+,0
A & N Islands,2003,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2003,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2003,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2003,Foreigners,Under Trials,Female,50+,0
A & N Islands,2003,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2003,Foreigners,Under Trials,Male,18-30,80
A & N Islands,2003,Foreigners,Under Trials,Male,30-50,29
A & N Islands,2003,Foreigners,Under Trials,Male,50+,2
A & N Islands,2003,Indians,Convicts,Female,16-18,0
A & N Islands,2003,Indians,Convicts,Female,18-30,2
A & N Islands,2003,Indians,Convicts,Female,30-50,0
A & N Islands,2003,Indians,Convicts,Female,50+,0
A & N Islands,2003,Indians,Convicts,Male,16-18,0
A & N Islands,2003,Indians,Convicts,Male,18-30,37
A & N Islands,2003,Indians,Convicts,Male,30-50,27
A & N Islands,2003,Indians,Convicts,Male,50+,3
A & N Islands,2003,Indians,Under Trials,Female,16-18,0
A & N Islands,2003,Indians,Under Trials,Female,18-30,0
A & N Islands,2003,Indians,Under Trials,Female,30-50,1
A & N Islands,2003,Indians,Under Trials,Female,50+,0
A & N Islands,2003,Indians,Under Trials,Male,16-18,0
A & N Islands,2003,Indians,Under Trials,Male,18-30,48
A & N Islands,2003,Indians,Under Trials,Male,30-50,40
A & N Islands,2003,Indians,Under Trials,Male,50+,4
A & N Islands,2004,Foreigners,Convicts,Female,16-18,0
A & N Islands,2004,Foreigners,Convicts,Female,18-30,0
A & N Islands,2004,Foreigners,Convicts,Female,30-50,0
A & N Islands,2004,Foreigners,Convicts,Female,50+,0
A & N Islands,2004,Foreigners,Convicts,Male,16-18,0
A & N Islands,2004,Foreigners,Convicts,Male,18-30,0
A & N Islands,2004,Foreigners,Convicts,Male,30-50,0
A & N Islands,2004,Foreigners,Convicts,Male,50+,0
